name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
Copenhagen 'N Livin',,Nrrebro,55.68641,12.54741,Entire home/apt,898.0,3,172,1.08,1,0,4,
Lovely house - most attractive area,,Indre By,55.69307,12.57649,Entire home/apt,2600.0,4,59,0.55,1,303,8,
City Centre Townhouse Sleeps 1-10 persons,,Indre By,55.67602,12.5754,Entire home/apt,3250.0,3,300,2.06,3,56,7,
Best Location in Cool Istedgade,,Vesterbro-Kongens Enghave,55.67023,12.55504,Entire home/apt,725.0,7,24,0.16,1,59,2,
"Beautiful, spacious, central, renovated Penthouse",,Vesterbro-Kongens Enghave,55.66660169999999,12.5552831,Entire home/apt,1954.0,3,19,0.13,1,0,2,
"165 m2  artist flat on Vesterbro, with 2 bathrooms",,Vesterbro-Kongens Enghave,55.672638,12.552493,Entire home/apt,1280.0,3,80,0.54,2,60,5,
Cozy flat for Adults/Quiet for kids,,sterbro,55.71176,12.57091,Entire home/apt,617.0,100,7,0.05,1,281,0,
Best location on Vesterbro/Cph,,Vesterbro-Kongens Enghave,55.66631,12.54555,Entire home/apt,1000.0,6,71,0.48,1,312,0,
Unique space on greatest location,,Indre By,55.68547,12.56543,Entire home/apt,2916.0,5,11,0.07,1,0,0,
0 min. from everything in Cph.,,Indre By,55.68428802490234,12.57301902770996,Entire home/apt,1900.0,14,15,0.1,1,87,6,
Stylish Flat in Central Copenhagen,,Amager Vest,55.66507,12.58315,Entire home/apt,2000.0,2,94,0.64,1,262,17,
Cosy and Central  - Apartment,,Frederiksberg,55.68127,12.55389,Entire home/apt,535.0,35,79,0.55,1,127,4,
Clean room in peacefull part of Cph,,Frederiksberg,55.68493,12.53434,Private room,465.0,3,57,0.4,1,0,9,
beautiful penthouse with rooftop,,Frederiksberg,55.67806,12.55044,Entire home/apt,2302.0,2,10,0.09,1,9,3,
IN THE HEART OF CPH,,Indre By,55.68384,12.56687,Entire home/apt,1406.0,4,134,0.97,1,326,25,
Copenhagen Exclusive,,Frederiksberg,55.68068,12.54581,Entire home/apt,1487.0,6,34,0.25,1,50,4,
Penthouse by the lakes - Copenhagen,,Frederiksberg,55.67757,12.55608,Entire home/apt,2057.0,3,24,0.18,1,139,14,
